movie_id,person_id,name,department,job,gender
136795,49907,Michele Imperato,Production,Executive Producer,1
136795,116805,Paul Feig,Production,Executive Producer,2
136795,935717,Dylan Clark,Production,Executive Producer,0
136795,36427,Jenno Topping,Production,Producer,1
136795,266920,Peter Chernin,Production,Producer,2
136795,1106222,Katie Dippold,Writing,Writer,1
136797,293911,Scott Waugh,Directing,Director,2
136797,1345635,Anna Rane,Directing,Script Supervisor,0
136797,1477203,Luca Marco Paracels,Production,Associate Producer,2
136797,1720,Ronna Kress,Production,Casting,1
136797,1345610,Chase Paris,Production,Casting,0
136797,1345611,Tara Feldstein,Production,Casting,0
136797,28401,Stuart M. Besser,Production,Executive Producer,0
136797,63946,Tim Moore,Production,Executive Producer,2
136797,293911,Scott Waugh,Production,Executive Producer,2
136797,1050654,Max Leitman,Production,Executive Producer,2
136797,1345624,Michael J. Burmeister,Production,Location Manager,0
136797,1345626,Russell DeVriendt,Production,Location Manager,0
136797,1345627,Mandi Dillin,Production,Location Manager,0
136797,34882,Mark Sourian,Production,Producer,0
136797,53176,John Gatins,Production,Producer,2
136797,1147602,Patrick O’Brien,Production,Producer,0
136797,1345602,Devin Fairbairn,Visual Effects,Visual Effects Producer,0
136797,1345603,Monica Hada,Visual Effects,Visual Effects Producer,0
136797,1345606,Lily Shapiro,Visual Effects,Visual Effects Producer,0
136797,1345600,Kevin Baillie,Visual Effects,Visual Effects Supervisor,0
136797,968453,George Gatins,Writing,Screenplay,2
136797,53176,John Gatins,Writing,Story,2
136797,968453,George Gatins,Writing,Story,2
136835,134156,Sam Miller,Directing,Director,2
136835,1371001,Mark Anthony Little,Directing,First Assistant Director,0
136835,1567766,Megan Graham,Directing,Script Supervisor,1
136835,1752243,Jason Roberts,Directing,Second Assistant Director,2
136835,567238,George Pierre,Production,Casting,0
136835,17605,Idris Elba,Production,Executive Producer,2
136835,31123,Rob Hardy,Production,Executive Producer,2
136835,40036,Taraji P. Henson,Production,Executive Producer,1
136835,59922,Glenn S. Gainor,Production,Executive Producer,2
136835,937024,Aimee Lagos,Production,Executive Producer,0
136835,1231882,Lindsay Williams,Production,Executive Producer,1
136835,1257754,Ellen Goldsmith-Vein,Production,Executive Producer,0
136835,72111,Brian M. O'Neill,Production,Location Manager,2
136835,31121,William Packer,Production,Producer,2
136835,1733525,Chris Romberg,Production,Production Accountant,2
136835,1752269,Sue Smith,Production,Production Coordinator,1
136835,1752250,Dianne Ashford,Production,Production Supervisor,1
136835,59922,Glenn S. Gainor,Production,Unit Production Manager,2
